address,postcode,Rental price,Offered since,Status,Available,Interior,Living area,Type of house,Type of construction,Number of rooms,Number of bedrooms,Number of bathrooms,Facilities,Balcony,Garden,Energy rating,url,Upkeep,Volume,Year of construction,Number of floors,Present,Rental agreement,Deposit,Location,Insulation,Heating,Hot water,Shed/Storeroom,Type of parking,Smoking allowed,Pets allowed,Target audience,Income requirement,Maximum number of residents,Duration,Specifics,Service costs,Plot area,Garden description,Description,Central heating boiler
Apartment Pablo Picassostraat in Utrecht,3544 NX (Het Zand-West),"€1,295 per month",3 weeks,For rent,In consultation,,88 m²,Staircase-accessed flat,New development,3,2,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/e97b0e8d/pablo-picassostraat,€45,,Good,228 m³,2022,,1,,,,,Parkeerplaats,Yes,,,,,,,,,,,,
House Piet Heinstraat 9 in Utrecht,"3582 BX (Abstede, Tolsteegsingel e.o.)","€1,675 per month",15-10-2022,For rent,In consultation,Upholstered,70 m²,"Mid-terrace house, Family home",Existing building,2,1,,Cable TV,Not present,"Present (50 m², located on the east)",C,https://www.pararius.com/house-for-rent/utrecht/bd31e1fb/piet-heinstraat,,Monumental building,Good,271 m³,1906,"On a quiet road
 in a residential area
 Unobstructed view",2,Double glazing,Central heating boiler,Central heating boiler,,,No,Public,,,,,,,,,,93 m²,achtertuin
Apartment Gruttersdijk 27 M in Utrecht,3514 BH (Vogelenbuurt),"€1,400 per month",2 weeks,For rent,From 01-11-2022,Upholstered or furnished,51 m²,Apartment,Existing building,2,1,1,Toilet,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/a03a96cc/gruttersdijk,,,,,,,,,,,Not present,,No,,Temporary rental,,,,,,,"Minimum of 12, maximum of 24 months",,,
Apartment Jutfaseweg 96 in Utrecht,3522 HH (Rivierenwijk),€700 per month,09-10-2022,For rent,Immediately,Upholstered or furnished,20 m²,Apartment,Existing building,2,1,1,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/32222706/jutfaseweg,,,,,,,,,,,Not present,,No,,Unlimited period,,,,,,,Minimum of 1 months,,,
Apartment Eschersingel in Utrecht,3544 ML (Het Zand-West),"€1,525 per month",21-10-2022,For rent,From 21-11-2022,Upholstered or furnished,100 m²,"Upstairs apartment, Double upstairs apartment",Existing building,3,2,1,Toilet,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/59c50522/eschersingel,,,Reasonable,270 m³,2000,in a residential area,1,,,,Not present,,No,,Unlimited period,"€1,525",No,No,Working,"€4,575",2,,,,
Apartment Merelstraat in Utrecht,3514 CL (Vogelenbuurt),"€1,150 per month

Excludes: Service costs",19-10-2022,For rent,From 01-11-2022,Upholstered or furnished,26 m²,Upstairs apartment,Existing building,2,1,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/769db979/merelstraat,€175,,Good,95 m³,1915,,1,,,,,,No,,,,,,,,,,,,
Apartment Breedstraat in Utrecht,3512 TX (Breedstraat en Plompetorengracht en omgeving),"€1,400 per month",2 weeks,For rent,Immediately,,48 m²,Downstairs apartment,Existing building,2,1,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/ab97c227/breedstraat,,,Good,300 m³,1993,,1,,,,,,No,,,,,,,,,,,,
Apartment Gruttersdijk 28 H in Utrecht,3514 BH (Vogelenbuurt),"€1,500 per month",2 weeks,For rent,Immediately,Furnished,60 m²,Apartment,Existing building,2,1,1,"Shower
 Bath
 Toilet",Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/00ff528d/gruttersdijk,,,,,,,,,,,Not present,,No,,Temporary rental,,,,,,,"Minimum of 12, maximum of 24 months",,,
Apartment Wisselstraat in Utrecht,3551 WG (2e Daalsebuurt en omgeving),"€1,600 per month",7 weeks,For rent,Immediately,,47 m²,Upstairs apartment,Existing building,2,1,,,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/66348f0e/wisselstraat,,,Good,156 m³,2021-2030,,1,,,,,,No,,,,,,,,,,,,
Apartment Twellosebeeklaan in Utrecht,3521 DR (Dichterswijk),"€1,525 per month

Excludes: Service costs",7 weeks,For rent,Immediately,,80 m²,Gallery flat,New development,3,2,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/d176be81/twellosebeeklaan,,,Excellent,230 m³,2021,,1,,,,,Parkeerkelder,Yes,,,,,,,,,,,,
Apartment Londenstraat in Utrecht,3541 CB (Leidsche Rijn-Centrum),"€1,600 per month",7 weeks,Rented under option,From 01-11-2022,Upholstered,67 m²,"Gallery flat, Apartment",Existing building,3,1,,Mechanical ventilation,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/31cf2fa5/londenstraat,,,Good,265 m³,2011-2020,In the city centre,1,,District heating,,Present,Parkeerkelder,Yes,Paid,,,,,,,,,,,
Studio Vleutenseweg in Utrecht,"3532 HH (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€1,295 per month

Includes: Electricity, Gas, Internet, Service costs, Water",17-10-2022,For rent,Immediately,Furnished,20 m²,Studio,Existing building,1,,,,,Not present,,https://www.pararius.com/studio-for-rent/utrecht/a02ba2e8/vleutenseweg,,,,,,"In the city centre
 in a residential area",1,,,,Not present,,No,,,"€2,590",No,No,,,1,,,,
Studio Berlijnplein in Utrecht,3541 CM (Leidsche Rijn-Centrum),"€633 per month

Excludes: Service costs",3+ months,For rent,Immediately,Upholstered,30 m²,"Studio, Apartment",New development,1,,1,"Lift
 Shower
 Toilet",,Present,,https://www.pararius.com/studio-for-rent/utrecht/2c891cec/berlijnplein,€327,,,,2022,in a residential area,1,,"District heating, Partial floor heating",District heating,Not present,,No,Garage,,"€1,500",No,No,Working,"€2,000",2,,,,
Apartment Kromme Nieuwegracht in Utrecht,3512 HL (Nieuwegracht-Oost),"€1,650 per month",13-10-2022,Under option,From 01-11-2022,Upholstered,60 m²,"Upstairs apartment, Apartment",Existing building,2,1,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/df2a0d25/kromme-nieuwegracht,,Monumental building,Good,150 m³,1450,"On a quiet road
 On a waterway
 In the city centre
 Unobstructed view",1,,,,Not present,,No,Public,Temporary rental,"€3,300",No,No,Working,"€4,950",,,,,
House Jasmijnstraat in Utrecht,3551 SP (2e Daalsebuurt en omgeving),"€1,650 per month",5 weeks,For rent,In consultation,,83 m²,"Mid-terrace house, Family home",Existing building,6,2,1,"Shower
 Storage space
 Toilet
 Laundry room",Not present,"Present (5 m², located on the north-west)",F,https://www.pararius.com/house-for-rent/utrecht/ad88ac23/jasmijnstraat,,,Good,185 m³,1910,In the city centre,2,Partial double glazing,Central heating boiler,Central heating boiler,Present,Aangebouwd steen,No,Paid,,,,,,,,,"HR (Gas, Property)",,achtertuin
House Bollenhofsestraat in Utrecht,3572 VH (Wittevrouwen),"€1,500 per month",14-10-2022,For rent,In consultation,,72 m²,"Corner house, Family home",Existing building,3,2,1,"Shower
 Toilet",Not present,Not present,,https://www.pararius.com/house-for-rent/utrecht/49579329/bollenhofsestraat,,,Good,200 m³,1906,"On a quiet road
 in a residential area",3,Fully insulated,Central heating boiler,Central heating boiler,,,No,Public,,,,,,,,,,64 m²,
Apartment Winklerlaan in Utrecht,3571 KE (Tuindorp-Oost),"€1,350 per month",2 weeks,For rent,From 01-11-2022,Shell,85 m²,Gallery flat,Existing building,3,3,,,Present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/56eddceb/winklerlaan,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Obrechtstraat 4 in Utrecht,3572 EE (Wittevrouwen),"€1,495 per month",13-10-2022,Under option,From 01-11-2022,Shell,70 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Mechanical ventilation
 Shower
 Toilet",Not present,Present (located on the south-east),B,https://www.pararius.com/apartment-for-rent/utrecht/5bb3b77a/obrechtstraat,,,Excellent,196 m³,1928,"in a residential area
 Near public transportation",1,,,,,,Yes,Paid,,"€2,990",,,,,,,,,achtertuin
Apartment Europaplein 859 in Utrecht,3526 WS (Transwijk-Zuid),"€1,150 per month",11-10-2022,For rent,From 14-11-2022,Shell,45 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/432542fa/europaplein,,,,,2007,,,,,,,,Yes,,,,,,,,,Minimum of 12 months,,,
House Singelstraat in Utrecht,3513 BM (Pijlsweerd-Zuid),"€1,695 per month

Includes: Service costs",14-10-2022,For rent,Immediately,Furnished,70 m²,"Mid-terrace house, Family home",Existing building,2,1,1,,,,D,https://www.pararius.com/house-for-rent/utrecht/96db807c/singelstraat,,,,,1910,,,,,,,,No,,,,,,,,,,,,
Apartment Koningslaan in Utrecht,3583 GB (Wilhelminapark en omgeving),"€1,250 per month

Includes: Service costs",12-10-2022,For rent,From 01-12-2022,Upholstered,50 m²,"Gallery flat, Apartment",Existing building,2,1,1,"Shower
 Toilet",,,,https://www.pararius.com/apartment-for-rent/utrecht/aef46284/koningslaan,,,,,,,,,,,,,No,,,,,,,,,,,,
Apartment Bloemstraat in Utrecht,3581 WE (Oudwijk),"€1,295 per month",3 weeks,Rented under option,From 01-11-2022,Upholstered,45 m²,Downstairs apartment,Existing building,2,1,1,,Not present,"Present (12 m², located on the north-east)",D,https://www.pararius.com/apartment-for-rent/utrecht/dff215e0/bloemstraat,,,,,,,,,,,Not present,,No,,Unlimited period,,,,,,,Minimum of 12 months,,,
Apartment 2e Spechtstraat in Utrecht,3514 TW (Vogelenbuurt),"€1,625 per month",19-10-2022,For rent,From 01-12-2022,Upholstered,110 m²,"Double ground-floor flat, Main floor",Existing building,3,2,1,"Bath
 Shower
 Toilet",Present,"Present (12 m², located on the north-west)",,https://www.pararius.com/apartment-for-rent/utrecht/a17fb00d/2e-spechtstraat,,,,330 m³,1904,"On a quiet road
 In the city centre",2,,,,,,,,,"€1,625",,,,,,,,110 m²,achtertuin
Apartment Van Heuven Goedhartplein 653 in Utrecht,3527 DZ (Kanaleneiland-Noord),"€1,025 per month",3 weeks,For rent,From 01-11-2022,Upholstered,54 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/9e510513/van-heuven-goedhartplein,,
Apartment Westerdijk 4 1702 in Utrecht,3513 EW (Pijlsweerd-Zuid),"€1,195 per month",3 weeks,For rent,From 01-11-2022,Upholstered,44 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/48d7bb7a/westerdijk,,
Apartment Westerdijk 4 0116 in Utrecht,3513 EW (Pijlsweerd-Zuid),€895 per month,14-10-2022,For rent,From 01-11-2022,Upholstered,28 m²,Gallery flat,Existing building,1,,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/7e953747/westerdijk,,
Apartment Van Heuven Goedhartplein 718 in Utrecht,3527 DZ (Kanaleneiland-Noord),"€1,105 per month",13-10-2022,For rent,From 01-11-2022,Upholstered,54 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/8a2351ec/van-heuven-goedhartplein,,
Apartment Sonny Rollinsstraat in Utrecht,3543 GR (Terwijde-Oost),"€1,650 per month",23-10-2022,For rent,From 01-01-2023,Furnished,88 m²,"Gallery flat, Apartment",Existing building,3,2,1,,,,A,https://www.pararius.com/apartment-for-rent/utrecht/c443af75/sonny-rollinsstraat,2012,No
Apartment Aziëlaan in Utrecht,3526 SW (Kanaleneiland-Zuid),"€1,595 per month",23-10-2022,For rent,Immediately,92 m²,276 m³,"Staircase-accessed flat, Apartment",Existing building,1969,3,2,1,1,Toilet,Present,https://www.pararius.com/apartment-for-rent/utrecht/36ffed8f/azielaan,,,
Apartment Jan van Scorelstraat in Utrecht,3583 CN (Schildersbuurt),"€1,150 per month",23-10-2022,For rent,Immediately,35 m²,105 m³,"Downstairs apartment, Apartment",Existing building,1915,2,1,1,1,,Not present,https://www.pararius.com/apartment-for-rent/utrecht/64dd3ebd/jan-van-scorelstraat,Present,achtertuin,A
Apartment Aartsbisschop Romerostraat 133 in Utrecht,3573 AE (Voordorp en Voorveldsepolder),"€1,515 per month",6 weeks,For rent,Immediately,Upholstered,101 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,C,https://www.pararius.com/apartment-for-rent/utrecht/743d4722/aartsbisschop-romerostraat
Apartment Aartsbisschop Romerostraat 133 in Utrecht,3573 AE (Voordorp en Voorveldsepolder),"€1,515 per month",6 weeks,For rent,Immediately,Upholstered,101 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,C,https://www.pararius.com/apartment-for-rent/utrecht/743d4722/aartsbisschop-romerostraat
Apartment Smakkelaarsveld 23 in Utrecht,3511 EA (Hoog-Catharijne NS en Jaarbeurs),"€1,450 per month",18-10-2022,Under option,Immediately,"€1,450",50 m²,150 m³,"Mezzanine, Apartment",Existing building,1975,2,1,1,1,"Shower
 Storage space
 Toilet",Present,C,https://www.pararius.com/apartment-for-rent/utrecht/2f0b764d/smakkelaarsveld
Apartment Zambesidreef 139 in Utrecht,3564 CB (Zambesidreef en omgeving),"€1,230 per month",6 weeks,For rent,Immediately,Shell,88 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,A+,https://www.pararius.com/apartment-for-rent/utrecht/6d03c0f1/zambesidreef,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Twellosebeeklaan in Utrecht,3521 DR (Dichterswijk),"€1,525 per month

Excludes: Service costs",7 weeks,For rent,Immediately,,80 m²,Gallery flat,New development,3,2,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/d176be81/twellosebeeklaan,Excellent,230 m³,2021,1,Yes,Parkeerkelder,,,,,,,,,,,,,,,,,,,
House Abstederdijk in Utrecht,"3582 BE (Abstede, Tolsteegsingel e.o.)","€1,600 per month",2 weeks,Under option,In consultation,,87 m²,"Corner house, Family home",Existing building,4,2,2,"Shower
 Storage space
 Toilet",Not present,Present (45 m²),,https://www.pararius.com/house-for-rent/utrecht/405afd42/abstederdijk,Reasonable,260 m³,Before 1906,3,No,Aangebouwd hout,89 m²,"On a quiet road
 in a residential area",achtertuin,"Double glazing, Roof insulation",Central heating boiler,Central heating boiler,Present,Public,,,,,,,,,,,
Apartment Weerdsingel O.Z. in Utrecht,3514 AG (Vogelenbuurt),"€1,500 per month",21-10-2022,For rent,From 01-11-2022,Furnished,75 m²,Gallery flat,Existing building,2,1,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/c19da239/weerdsingel-o-z,,,1880,,,,,,,,,,,,,,,,,,,,,,
Apartment Schoutenstraat in Utrecht,"3512 GB (Domplein, Neude, Janskerkhof)","€1,295 per month",13-10-2022,For rent,From 01-01-2023,Upholstered,60 m²,Gallery flat,Existing building,2,1,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/7323072b/schoutenstraat,,,1900,,,,,,,,,,,,,,,,,,,,,,
House Korenbloemstraat in Utrecht,"3551 GM (Egelantierstraat, Mariëndaalstraat e.o.)","€1,750 per month",21-10-2022,For rent,From 01-12-2022,Upholstered,85 m²,"Corner house, Family home",Existing building,4,2,2,"Roof terrace
 Shower
 Storage space",,Present (16 m²),F,https://www.pararius.com/house-for-rent/utrecht/1f1f3263/korenbloemstraat,Good,212 m³,1906,2,No,,,"At a park
 in a residential area",,,,,Not present,Paid,Unlimited period,"€1,750",No,No,Working,"€5,250",2,,,,
House Jasmijnstraat in Utrecht,3551 SP (2e Daalsebuurt en omgeving),"€1,650 per month",5 weeks,For rent,In consultation,,83 m²,"Mid-terrace house, Family home",Existing building,6,2,1,"Shower
 Storage space
 Toilet
 Laundry room",Not present,"Present (5 m², located on the north-west)",F,https://www.pararius.com/house-for-rent/utrecht/ad88ac23/jasmijnstraat,Good,185 m³,1910,2,No,Aangebouwd steen,,In the city centre,achtertuin,Partial double glazing,Central heating boiler,Central heating boiler,Present,Paid,,,,,,,,"HR (Gas, Property)",,,
Apartment Pal Maleterstraat 57 in Utrecht,3573 PG (Voordorp en Voorveldsepolder),"€1,675 per month",6 weeks,For rent,Immediately,Upholstered,112 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/3b2e0368/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Loeff Berchmakerstraat 11 1 in Utrecht,3512 TC (Breedstraat en Plompetorengracht en omgeving),"€1,050 per month

Includes: Gas, Water, Electricity",09-10-2022,For rent,Immediately,Shell,35 m²,Apartment,Existing building,2,1,1,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/6d8a76f8/loeff-berchmakerstraat,,,,,No,,,,,,,,Not present,,Unlimited period,,,,,,,,Minimum of 1 months,,
House Wijde Doelen in Utrecht,3512 XN (Lange Nieuwstraat en omgeving),"€1,495 per month",18-10-2022,For rent,From 01-11-2022,Upholstered,84 m²,"Mid-terrace house, Family home",Existing building,3,2,1,,,Not present,E,https://www.pararius.com/house-for-rent/utrecht/603821fd/wijde-doelen,Good,210 m³,1900,2,No,,,"In the city centre
 in a residential area",,,,,Not present,,Temporary rental,"€2,990",No,No,Working,"€4,485",,,,,
Apartment Pal Maleterstraat 11 in Utrecht,3573 PE (Voordorp en Voorveldsepolder),"€1,645 per month",6 weeks,For rent,Immediately,Upholstered,112 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/14b620f4/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Loeff Berchmakerstraat in Utrecht,3512 TD (Breedstraat en Plompetorengracht en omgeving),"€1,095 per month",2 weeks,For rent,From 01-11-2022,Upholstered,37 m²,Gallery flat,Existing building,2,2,,,Present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/8dee882a/loeff-berchmakerstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Van Hoornekade 135 in Utrecht,3554 AT (Geuzenwijk),"€1,100 per month",21-10-2022,For rent,In consultation,,90 m²,Upstairs apartment,Existing building,4,2,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/3e92cf4e/van-hoornekade,Good,225 m³,1931,1,No,,,,,,,,,Public,,,,,,,,,,,
House Bollenhofsestraat in Utrecht,3572 VH (Wittevrouwen),"€1,500 per month",14-10-2022,For rent,In consultation,,72 m²,"Corner house, Family home",Existing building,3,2,1,"Shower
 Toilet",Not present,Not present,,https://www.pararius.com/house-for-rent/utrecht/49579329/bollenhofsestraat,Good,200 m³,1906,3,No,,64 m²,"On a quiet road
 in a residential area",,Fully insulated,Central heating boiler,Central heating boiler,,Public,,,,,,,,,,,
Apartment Wijde Begijnestraat in Utrecht,3512 AW (Breedstraat en Plompetorengracht en omgeving),"€1,400 per month

Includes: Service costs",11-10-2022,For rent,Immediately,Upholstered,60 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,"Shower
 Toilet",,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/f2a2f833/wijde-begijnestraat,Good,,,1,No,,,In the city centre,,,,,Not present,,,"€2,800",No,No,,,2,,,Monumental building,
Apartment Oudegracht in Utrecht,"3511 AJ (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,100 per month",2 weeks,For rent,From 01-11-2022,Upholstered,50 m²,Gallery flat,Existing building,1,,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/3364a017/oudegracht,,,1930,,,,,,,,,,,,,,,,,,,,,,
Apartment Tafelbergdreef 192 in Utrecht,3564 AG (Zambesidreef en omgeving),"€1,325 per month",21-10-2022,For rent,From 18-11-2022,Upholstered,84 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,F,https://www.pararius.com/apartment-for-rent/utrecht/43bba35a/tafelbergdreef,,,1967,,Yes,,,,,,,,,,,,,,,,,,Minimum of 12 months,,
Apartment Trumanlaan in Utrecht,3527 BM (Kanaleneiland-Noord),"€1,530 per month

Includes: Service costs",7 weeks,For rent,Immediately,Furnished,75 m²,"Upstairs apartment, Apartment",Existing building,3,2,2,Laundry room,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/32db0281/trumanlaan,,,1960,1,No,,,in a residential area,,,,,Not present,Public,Unlimited period,"€2,000",,,,,,,,,
Apartment Bakhuizen van den Brinkstraat in Utrecht,"3532 GA (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€1,150 per month",21-10-2022,For rent,From 01-11-2022,Furnished,35 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Shower
 Toilet",,Present,C,https://www.pararius.com/apartment-for-rent/utrecht/a9b70717/bakhuizen-van-den-brinkstraat,Good,88 m³,1950,1,No,,,in a residential area,,,,,Not present,Paid,Unlimited period,"€1,150",No,No,Working,"€3,450",2,,,,
Apartment Obrechtstraat 4 in Utrecht,3572 EE (Wittevrouwen),"€1,495 per month",13-10-2022,Under option,From 01-11-2022,Shell,70 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Mechanical ventilation
 Shower
 Toilet",Not present,Present (located on the south-east),B,https://www.pararius.com/apartment-for-rent/utrecht/5bb3b77a/obrechtstraat,Excellent,196 m³,1928,1,Yes,,,"in a residential area
 Near public transportation",achtertuin,,,,,Paid,,"€2,990",,,,,,,,,
Apartment Visschersplein 178 in Utrecht,"3511 LX (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,495 per month",2 weeks,Under offer,From 01-11-2022,Upholstered,70 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,,Not present,,A,https://www.pararius.com/apartment-for-rent/utrecht/5010e514/visschersplein,,195 m³,Before 1906,1,,,,"In the city centre
 Near public transportation
 Near a school
 Near a shopping centre",,,,District heating,,,,"€2,990",,,,,,,,Monumental building,
Apartment Londenstraat in Utrecht,3541 CB (Leidsche Rijn-Centrum),"€1,600 per month",7 weeks,Rented under option,From 01-11-2022,Upholstered,67 m²,"Gallery flat, Apartment",Existing building,3,1,,Mechanical ventilation,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/31cf2fa5/londenstraat,Good,265 m³,2011-2020,1,Yes,Parkeerkelder,,In the city centre,,,District heating,,Present,Paid,,,,,,,,,,,
Apartment Nieuwegracht in Utrecht,3512 LV (Nieuwegracht-Oost),"€1,350 per month",20-10-2022,For rent,From 15-11-2022,Furnished,45 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/a15db453/nieuwegracht,Good,100 m³,1600,1,No,,,"By the water
 In the city centre",,,,,Not present,,Temporary rental,"€2,700",,No,Working,"€4,050",1,,,,
Apartment 2e Spechtstraat in Utrecht,3514 TW (Vogelenbuurt),"€1,625 per month",19-10-2022,For rent,From 01-12-2022,Upholstered,110 m²,"Double ground-floor flat, Main floor",Existing building,3,2,1,"Bath
 Shower
 Toilet",Present,"Present (12 m², located on the north-west)",,https://www.pararius.com/apartment-for-rent/utrecht/a17fb00d/2e-spechtstraat,,330 m³,1904,2,,,110 m²,"On a quiet road
 In the city centre",achtertuin,,,,,,,"€1,625",,,,,,,,,
Apartment Koningslaan in Utrecht,3583 GB (Wilhelminapark en omgeving),"€1,250 per month

Includes: Service costs",12-10-2022,For rent,From 01-12-2022,Upholstered,50 m²,"Gallery flat, Apartment",Existing building,2,1,1,"Shower
 Toilet",,,,https://www.pararius.com/apartment-for-rent/utrecht/aef46284/koningslaan,,,,,No,,,,,,,,,,,,,,,,,,,,
Apartment Sonny Rollinsstraat in Utrecht,3543 GR (Terwijde-Oost),"€1,650 per month",23-10-2022,For rent,From 01-01-2023,Furnished,88 m²,"Gallery flat, Apartment",Existing building,3,2,1,,,,A,https://www.pararius.com/apartment-for-rent/utrecht/c443af75/sonny-rollinsstraat,,,2012,,No,,,,,,,,,,,,,,,,,,,,
Apartment Linnaeusstraat in Utrecht,3553 CE (Elinkwijk en omgeving),"€1,075 per month",3 weeks,Rented under option,Immediately,,38 m²,Upstairs apartment,Existing building,1,,,"Roof terrace
 Shower
 Toilet",Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/b31afdb1/linnaeusstraat,Good,80 m³,1926,1,No,,,,,,,,,Public,,,,,,,,,,,€200
Apartment Bemuurde Weerd O.Z. 50 in Utrecht,3514 AS (Lauwerecht),"€1,295 per month",2 months,For rent,Immediately,Upholstered,53 m²,Gallery flat,Existing building,2,1,1,,Not present,Not present,D,https://www.pararius.com/apartment-for-rent/utrecht/ce7bd98e/bemuurde-weerd-o-z,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Koekoeksplein in Utrecht,3514 TT (Vogelenbuurt),"€1,515 per month",13-10-2022,For rent,From 01-11-2022,Upholstered,45 m²,"Downstairs apartment, Apartment",Existing building,3,2,1,"Shower
 Toilet
 Laundry room",,Present (10 m²),B,https://www.pararius.com/apartment-for-rent/utrecht/b686dd1f/koekoeksplein,Excellent,115 m³,1900,1,No,,,in a residential area,,,,,Not present,Paid,Temporary rental,"€3,030",No,No,Working,,2,,,,
Apartment Merelstraat in Utrecht,3514 CL (Vogelenbuurt),"€1,150 per month

Excludes: Service costs",19-10-2022,For rent,From 01-11-2022,Upholstered or furnished,26 m²,Upstairs apartment,Existing building,2,1,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/769db979/merelstraat,Good,95 m³,1915,1,No,,,,,,,,,,,,,,,,,,,,€175
Apartment Aartsbisschop Romerostraat 133 in Utrecht,3573 AE (Voordorp en Voorveldsepolder),"€1,515 per month",6 weeks,For rent,Immediately,Upholstered,101 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,C,https://www.pararius.com/apartment-for-rent/utrecht/743d4722/aartsbisschop-romerostraat,,,,,,,,,,,,,,,,,,,,,,,,,
Studio Oudegracht in Utrecht,3511 AB (Wijk C),€730 per month,20-10-2022,For rent,Immediately,Furnished,24 m²,Studio,Existing building,1,1,1,,,Present,,https://www.pararius.com/studio-for-rent/utrecht/26e0fcfb/oudegracht,Excellent,75 m³,1818,1,No,,,In the city centre,,,,,Not present,,Temporary rental,"€1,500",No,No,Working,,1,,,Monumental building,€315
Apartment Smakkelaarsveld 23 in Utrecht,3511 EA (Hoog-Catharijne NS en Jaarbeurs),"€1,450 per month",18-10-2022,Under option,Immediately,,50 m²,"Mezzanine, Apartment",Existing building,2,1,1,"Shower
 Storage space
 Toilet",Present,,C,https://www.pararius.com/apartment-for-rent/utrecht/2f0b764d/smakkelaarsveld,,150 m³,1975,1,,,,,,,,,,,,"€1,450",,,,,,,,,
Apartment Pieterskerkhof 23 L in Utrecht,"3512 JS (Domplein, Neude, Janskerkhof)","€1,750 per month

Excludes: Service costs",21-10-2022,For rent,From 01-11-2022,Upholstered,63 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Cable TV
 Mechanical ventilation
 Shower
 Toilet
 Laundry room",Not present,Not present,A+++,https://www.pararius.com/apartment-for-rent/utrecht/70eb0c4b/pieterskerkhof,Excellent,190 m³,2022,1,No,Box,,In the city centre,,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",District heating,Central heating,Present,Paid,,,,,,,,,,Monumental building,€100
Apartment Kromme Nieuwegracht in Utrecht,"3512 HC (Domplein, Neude, Janskerkhof)","€1,695 per month",2 months,For rent,From 01-12-2022,Upholstered,100 m²,"Penthouse, Apartment",Existing building,3,2,1,Laundry room,Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/36e48ff9/kromme-nieuwegracht,Good,250 m³,1900,1,No,,,"On a waterway
 By the water
 In the city centre",,,,,Not present,,Temporary rental,"€3,390",No,No,Working,"€5,085",,,,,
